page_title,views_details
4 lessons from robots about being human,"398,060 views | Ken Goldberg • TEDxBerkeley"
The value of your humanity in an automated future,"1,377,123 views | Kevin Roose • TED@BCG"
How do we learn to work with intelligent machines?,"1,927,658 views | Matt Beane • TED Salon: Zebra Technologies"
How AI could become an extension of your mind,"765,070 views | Arnav Kapur • TED2019"
3 myths about the future of work (and why they're not true),"1,656,232 views | Daniel Susskind • TED@Merck KGaA, Darmstadt, Germany"
"Watson, Jeopardy and me, the obsolete know-it-all","1,432,620 views | Ken Jennings • TEDxSeattleU"
How bad data keeps us from good AI,"1,436,125 views | Mainak Mazumdar • TED Salon: Dell Technologies"
How we're teaching computers to understand pictures,"2,983,629 views | Fei-Fei Li • TED2015"
Technology that knows what you're feeling,"1,735,581 views | Poppy Crum • TED2018"
Where's Google going next?,"2,773,603 views | Larry Page • TED2014"
How to keep human bias out of AI,"2,306,470 views | Kriti Sharma • TEDxWarwick"
Machine intelligence makes human morals more important,"1,855,910 views | Zeynep Tufekci • TEDSummit"
The line between life and not-life,"892,964 views | Martin Hanczyc • TEDSalon London Spring 2011"
Robots that fly ... and cooperate,"5,402,386 views | Vijay Kumar • TED2012"
How computers are learning to be creative,"2,119,619 views | Blaise Agüera y Arcas • TED@BCG Paris"
Don't fear superintelligent AI,"2,978,236 views | Grady Booch • TED@IBM"
Why we need to imagine different futures,"1,867,545 views | Anab Jain • TED2017"
How computers learn to recognize objects instantly,"2,733,921 views | Joseph Redmon • TED2017"
"How we can build AI to help humans, not hurt us","1,212,281 views | Margaret Mitchell • TED@BCG Milan"
"Siri, Alexa, Google ... what comes next?","1,833,749 views | Karen Lellouche Tordjman • TED@BCG"
How civilization could destroy itself — and 4 ways we could prevent it,"2,567,646 views | Nick Bostrom • TED2019"
3 principles for creating safer AI,"1,559,212 views | Stuart Russell • TED2017"
The 4 greatest threats to the survival of humanity,"497,534 views |  TED-Ed • TED-Ed"
The rise of personal robots,"1,277,401 views | Cynthia Breazeal • TEDWomen 2010"
"Connected, but alone?","7,497,022 views | Sherry Turkle • TED2012"
Robots will invade our lives,"714,376 views | Rodney Brooks • TED2003"
An animated tour of the invisible,"2,293,052 views | John Lloyd • TED-Ed"
How we can teach computers to make sense of our emotions,"1,326,703 views | Raphael Arar • TED@IBM"
A fascinating time capsule of human feelings toward AI,"1,999,733 views | Lucy Farey-Jones • TED2019"
How humans and AI can work together to create better businesses,"2,366,927 views | Sylvain Duranton • TED@BCG Mumbai"
Can machines read your emotions?,"329,401 views | Kostas Karpouzis • TED-Ed"
How brain science will change computing,"1,752,940 views | Jeff Hawkins • TED2003"
What moral decisions should driverless cars make?,"1,260,808 views | Iyad Rahwan • TEDxCambridge"
AI isn't as smart as you think — but it could be,"1,863,560 views | Jeff Dean • TEDMonterey"
What happens when our computers get smarter than we are?,"5,216,988 views | Nick Bostrom • TED2015"
The human skills we need in an unpredictable world,"3,916,850 views | Margaret Heffernan • TEDSummit 2019"
The jobs we'll lose to machines — and the ones we won't,"2,922,742 views | Anthony Goldbloom • TED2016"
Can we learn to talk to sperm whales?,"1,197,019 views | David Gruber • TED2020 "
A new way to monitor vital signs (that can see through walls),"1,627,927 views | Dina Katabi • TED2018"
Can we learn to talk to sperm whales?,"1,197,019 views | David Gruber • TED2020 "
Why people and AI make good business partners,"1,685,100 views | Shervin Khodabandeh • TED@BCG"
What would happen if we upload our brains to computers?,"1,494,920 views | Robin Hanson • TED2017"
"Robots with ""soul""","3,094,431 views | Guy Hoffman • TEDxJaffa 2013"
How I'm using biological data to tell better stories — and spark social change,"2,035,737 views | Heidi Boisvert • TED Residency"
Silicon-based comedy,"907,595 views | Heather Knight • TEDWomen 2010"
The rise of human-computer cooperation,"998,232 views | Shyam Sankar • TEDGlobal 2012"
"The Greek myth of Talos, the first robot","2,834,296 views | Adrienne Mayor • TED-Ed"
A future with fewer cars,"1,723,522 views | Freeman H. Shen • TEDMonterey"
What intelligent machines can learn from a school of fish,"1,307,965 views | Radhika Nagpal • TED2017"
How AI is making it easier to diagnose disease,"1,676,105 views | Pratik Shah • TEDGlobal 2017"
The real reason for brains,"2,145,812 views | Daniel Wolpert • TEDGlobal 2011"
My seven species of robot — and how we created them,"2,309,940 views | Dennis Hong • TEDxNASA"
The race to build AI that benefits humanity with Sam Altman,"1,016,390 views | The TED Interview • TED Audio Collective"
How deepfakes undermine truth and threaten democracy,"3,488,360 views | Danielle Citron • TEDSummit 2019"
Can a robot pass a university entrance exam?,"1,723,269 views | Noriko Arai • TED2017"
What AI is — and isn't,"1,673,095 views | Sebastian Thrun and Chris Anderson • TED2017"
Could you recover from illness ... using your own stem cells?,"2,065,232 views | Nabiha Saklayen • TEDMonterey"
How new technology helps blind people explore the world,"1,480,214 views | Chieko Asakawa • TED@IBM"
How AI could compose a personalized soundtrack to your life,"1,577,872 views | Pierre Barreau • TED2018"
"How to be ""Team Human"" in the digital future","1,834,854 views | Douglas Rushkoff • TED Salon: Samsung"
6 big ethical questions about the future of AI,"1,939,792 views | Genevieve Bell • TED Salon: Dell Technologies"
What is deep tech? A look at how it could shape the future,"1,415,765 views | Antoine Gourévitch • TED@BCG"
Don't fear intelligent machines. Work with them,"1,925,519 views | Garry Kasparov • TED2017"
How I'm fighting bias in algorithms,"1,595,948 views | Joy Buolamwini • TEDxBeaconStreet"
Fake videos of real people — and how to spot them,"2,228,707 views | Supasorn Suwajanakorn • TED2018"
How we're using AI to discover new antibiotics,"1,974,288 views | Jim Collins • TED2020 "
A funny look at the unintended consequences of technology,"1,024,933 views | Chuck Nice • TED2017"
"How to get better at video games, according to babies","539,551 views | Brian Christian • TED-Ed"
A sci-fi vision of life in 2041,"2,220,469 views | Chen Qiufan • TEDMonterey"
We're covered in germs. Let's design for that.,"1,078,382 views | Jessica Green • TED2013"
Our moral imperative to act on climate change — and 3 steps we can take (English voiceover),"103,298 views | His Holiness Pope Francis • Countdown"
"Global warming's theme song, ""Manhattan in January""","732,842 views | Jill Sobule • TED2006"
A 40-year plan for energy,"1,301,030 views | Amory Lovins • TEDSalon NY2012"
Can the ocean run out of oxygen?,"713,004 views | Kate Slabosky • TED-Ed"
Whatever happened to acid rain?,"2,408,575 views | Joseph Goffman • TED-Ed"
"How we'll resurrect the gastric brooding frog, the Tasmanian tiger","609,800 views | Michael Archer • TEDxDeExtinction"
Fusion is energy's future,"853,631 views | Steven Cowley • TEDGlobal 2009"
"An urgent call to protect the world's ""Third Pole""","2,112,778 views | Tshering Tobgay • TEDSummit 2019"
Humanity's planet-shaping powers — and what they mean for the future,"1,325,382 views | Achim Steiner • TED Salon: UNDP"
The energy Africa needs to develop — and fight climate change,"1,490,148 views | Rose M. Mutiso • Countdown"
The secrets I find on the mysterious ocean floor,"1,849,913 views | Laura Robinson • TEDxBrussels"
American bipartisan politics can be saved — here's how,"2,374,378 views | Bob Inglis • TEDxBeaconStreet"
Why wildfires have gotten worse — and what we can do about it,"1,463,937 views | Paul Hessburg • TEDxBend"
A wide-angle view of fragile Earth,"913,753 views | Yann Arthus-Bertrand • TED2009"
The innovations we need to avoid a climate disaster,"1,901,412 views | Bill Gates • Countdown"
"What farmers need to be modern, climate-friendly and profitable","1,345,057 views | Beth Ford • TED@BCG"
Why we should archive everything on the planet,"54,636 views | Chris Fisher • TEDxMileHigh"
How shocking events can spark positive change,"2,645,337 views | Naomi Klein • TEDGlobal>NYC"
Why you should be a climate activist,"2,597,507 views | Luisa Neubauer • TEDxYouth@München"
This sea creature breathes through its butt,"440,368 views | Cella Wright • TED-Ed"
Global priorities bigger than climate change,"1,814,779 views | Bjorn Lomborg • TED2005"
"The ""myth"" of the boiling frog","1,517,389 views |  TED-Ed • TED-Ed"
Why bees are disappearing,"3,168,798 views | Marla Spivak • TEDGlobal 2013"
"Vultures: The acid-puking, plague-busting heroes of the ecosystem","1,382,348 views | Kenny Coogan • TED-Ed"
How small countries can make a big impact on climate change,"1,685,844 views | Nicola Sturgeon • Countdown Summit"
Why I protest for climate justice,"1,914,343 views | Jane Fonda • TEDWomen 2019"
Why act now?,"181,514 views | Kristen Bell + Giant Ant • Countdown"
The state of the climate — and what we might do about it,"883,001 views | Lord Nicholas Stern • TED@Unilever"
Metal that breathes,"1,294,503 views | Doris Kim Sung • TEDxUSC"
3 thoughtful ways to conserve water,"1,303,081 views | Lana Mazahreh • TED@BCG Milan"
Hooked by an octopus,"1,208,442 views | Mike deGruy • Mission Blue Voyage"
Why is the world warming up?,"297,189 views | Kristen Bell + Giant Ant • Countdown"
A reality check on renewables,"592,047 views | David MacKay • TEDxWarwick"
How to turn climate anxiety into action,"2,190,754 views | Renée Lertzman • TEDWomen 2019"
What comes after An Inconvenient Truth?,"1,033,686 views | Al Gore • TED2009"
What if cracks in concrete could fix themselves?,"1,551,671 views | Congrui Jin • TED-Ed"
A small country with big ideas to get rid of fossil fuels,"1,476,675 views | Monica Araya • TEDSummit"
We need to track the world's water like we track the weather,"3,251,805 views | Sonaar Luthra • TEDSummit 2019"
How to shift your mindset and choose your future,"2,931,608 views | Tom Rivett-Carnac • TED2020 "
Can seaweed help curb global warming?,"3,170,633 views | Tim Flannery • TEDSummit 2019"
What to do when climate change feels unstoppable,"1,912,038 views | Clover Hogan • TEDxLondonWomen"
The case for optimism on climate change,"2,318,247 views | Al Gore • TED2016"
The magic of the Amazon: A river that flows invisibly all around us,"1,223,572 views | Antonio Donato Nobre • TEDxAmazonia"
How to transform sinking cities into landscapes that fight floods,"1,940,430 views | Kotchakorn Voraakhom • TEDWomen 2018"
What nature can teach us about sustainable business,"310,814 views | Erin Meezan • In the Green: The Business of Climate Action"
The ocean's ingenious climate solutions,"1,668,512 views | Susan Ruffo • Countdown Summit"
3 ways your company's data can jump-start climate action,"1,615,083 views | Massimo Russo • TED@BCG"
Life in Biosphere 2,"1,267,598 views | Jane Poynter • TEDxUSC"
Emergency medicine for our climate fever,"1,916,893 views | Kelly Wanser • TEDSummit 2019"
How to be a good ancestor,"1,627,218 views | Roman Krznaric • Countdown"
Community investment is the missing piece of climate action,"1,624,022 views | Dawn Lippert • Countdown Summit"
The untapped energy source that could power the planet,"2,069,893 views | Jamie C. Beard • TEDMonterey"
It's impossible to have healthy people on a sick planet,"1,758,239 views | Shweta Narayan • Countdown Summit"
How China is (and isn't) fighting pollution and climate change,"1,939,618 views | Angel Hsu • TED2018"
5 transformational policies for a prosperous and sustainable world,"1,824,802 views | Johan Rockström • We the Future"
A new way to remove CO2 from the atmosphere,"3,674,996 views | Jennifer Wilcox • TED2018"
A bold plan to protect 30 percent of the Earth's surface and ocean floor,"1,467,470 views | Enric Sala • Countdown Summit"
"The ""greenhouse-in-a-box"" empowering farmers in India","1,711,617 views | Sathya Raghu Mokkapati • Countdown Summit"
Where does all the carbon we release go?,"236,031 views | Kristen Bell + Giant Ant • Countdown"
What if there were 1 trillion more trees?,"3,081,911 views | Jean-François Bastin • TED-Ed"
The hidden wonders of soil,"1,332,175 views | Jane Zelikova • Countdown Summit"
Africa's great carbon valley — and how to end energy poverty,"1,441,177 views | James Irungu Mwangi • TED Countdown New York Session 2022"
The eco-creators helping the climate through social media,"1,257,334 views | Zahra Biabani • TED Countdown New York Session 2022"
How to find joy in climate action,"1,364,010 views | Ayana Elizabeth Johnson • TED2022"
An interactive map to track (and end) pollution in China,"2,027,013 views | Ma Jun • TEDMonterey"
How we can curb climate change by spending two percent more on everything,"1,331,997 views | Jens Burchardt • TED@BCG"
The wonderful world of life in a drop of water,"1,162,310 views | Simone Bianco and Tom Zimmerman • TED@IBM"
Can clouds buy us more time to solve climate change?,"1,338,904 views | Kate Marvel • TED2017"
A new economic model for protecting tropical forests ,"1,609,476 views | Nat Keohane • Countdown Summit"
What seaweed and cow burps have to do with climate change,"1,846,647 views | Ermias Kebreab • Countdown Summit"
How to make radical climate action the new normal,"2,540,047 views | Al Gore • Countdown Summit"
A bold plan to protect 30 percent of the Earth's surface and ocean floor,"1,467,470 views | Enric Sala • Countdown Summit"
How to make radical climate action the new normal,"2,540,047 views | Al Gore • Countdown Summit"
The 55 gigaton challenge,"403,840 views | Countdown • Countdown Global Livestream"
Why don't we cover the desert with solar panels?,"3,626,366 views | Dan Kwartler • TED-Ed"
A new economic model for protecting tropical forests ,"1,609,476 views | Nat Keohane • Countdown Summit"
What seaweed and cow burps have to do with climate change,"1,846,647 views | Ermias Kebreab • Countdown Summit"
How to find joy in climate action,"1,364,010 views | Ayana Elizabeth Johnson • TED2022"
The science behind a climate headline,"1,173,228 views | Rachel Pike • TEDGlobal 2009"
The race to a zero-emission world starts now,"1,461,191 views | António Guterres • Countdown"
How we can turn the tide on climate,"2,190,162 views | Christiana Figueres and Chris Anderson • Countdown"
Plant fuels that could power a jet,"291,631 views | Bilal Bomani • TEDxNASA@SiliconValley"
Amazon's climate pledge to be net-zero by 2040,"1,532,460 views | Dave Clark and Kara Hurst • Countdown"
The discoveries awaiting us in the ocean's twilight zone,"1,468,277 views | Heidi M. Sosik • TED2018"
Ecology from the air,"823,630 views | Greg Asner • TEDGlobal 2013"
How we can detect pretty much anything,"327,624 views | Hélène Morlon and Anna Papadopoulou • TED-Ed"
Hopeful lessons from the battle to save rainforests,"985,728 views | Tasso Azevedo • TEDGlobal 2014"
How we look kilometers below the Antarctic ice sheet,"1,029,622 views | Dustin Schroeder • TEDxStanford"
My country will be underwater soon — unless we work together,"1,166,781 views | Anote Tong • Mission Blue II"
The secret life of plankton,"1,886,789 views | Tierney Thys and Plankton Chronicles Project • TED-Ed"
"The big-beaked, rock-munching fish that protect coral reefs","413,293 views | Mike Gil • TED-Ed"
Energy from floating algae pods,"1,135,936 views | Jonathan Trent • TEDGlobal 2012"
Apple's promise to be carbon neutral by 2030,"1,383,252 views | Lisa Jackson and Liz Ogbu • Countdown"
"Urbanization and the evolution of cities across 10,000 years","2,221,625 views | Vance Kite • TED-Ed"
Let's scan the whole planet with LiDAR,"1,755,336 views | Chris Fisher • TEDxMileHigh"
Why are blue whales so enormous?,"938,080 views | Asha de Vos • TED-Ed"
Why is cotton in everything?,"2,165,631 views | Michael R. Stiff • TED-Ed"
The Arctic vs. the Antarctic,"4,293,775 views | Camille Seaman • TED-Ed"
The lovable (and lethal) sea lion,"474,827 views | Claire Simeone • TED-Ed"
Why I still have hope for coral reefs,"1,399,557 views | Kristen Marhaver • TED2017"
Is the weather actually becoming more extreme?,"542,629 views | R. Saravanan • TED-Ed"
Climate change is our reality. Here's how we're taking action,"1,270,315 views | Al Gore, Gloria Kasang Bulus, Nana Firman, Ximena Loría and Tim Guinee • Countdown"
The biggest risks facing cities — and some solutions,"1,320,427 views | Robert Muggah • TEDGlobal>NYC"
Make your actions on climate reflect your words,"1,571,355 views | Severn Cullis-Suzuki • Countdown"
Why climate change is a threat to human rights,"1,586,345 views | Mary Robinson • TEDWomen 2015"
What a nun can teach a scientist about ecology,"1,697,644 views | Victoria Gill • TED@NAS"
How the military fights climate change,"1,036,276 views | David Titley • TED2017"
A brief history of divorce,"604,350 views | Rod Phillips • TED-Ed"
Love vs. Honor: The Irish myth of Diarmuid's betrayal,"546,576 views | Iseult Gillespie • TED-Ed"
What emotions look like in a dog's brain,"2,907,766 views | Gregory Berns • TEDxAtlanta"
Beautiful new words to describe obscure emotions,"1,983,398 views | John Koenig • TEDxBerkeley"
Technology hasn't changed love. Here's why,"2,308,767 views | Helen Fisher • TEDSummit"
How reverse mentorship can help create better leaders,"373,832 views | Patrice Gordon • The Way We Work"
"""First Kiss""","517,110 views | Tim Seibles • TED-Ed"
What you don't know about marriage,"6,864,467 views | Jenna McCarthy • TEDxAmericanRiviera"
Fifty shades of gay,"3,156,752 views | iO Tillett Wright • TEDxWomen 2012"
Intimate photos of a senior love triangle,"553,639 views | Isadora Kosofsky • TED2018"
How understanding divorce can help your marriage,"3,007,677 views | Jeannie Suk Gersen • TEDWomen 2019"
Want to change the world? Start by being brave enough to care,"3,627,222 views | Cleo Wade • TEDWomen 2017"
"Why we love, why we cheat","12,246,279 views | Helen Fisher • TED2006"
"The keys to a happier, healthier sex life","598,439 views | Emily Nagoski • TEDxUniversityofNevada"
"""Everything happens for a reason"" — and other lies I've loved","8,218,704 views | Kate Bowler • TEDMED 2018"
4 signs of emotional abuse,"602,730 views | Viann Nguyen-Feng • TED-Ed"
Say your truths and seek them in others,"2,118,938 views | Elizabeth Lesser • TEDWomen 2016"
How to speak up for yourself,"7,344,801 views | Adam Galinsky • TEDxNewYork"
The truth about faking orgasms,"855,544 views | Karen Gurney • TEDxLondonWomen"
The therapeutic value of photography,"60,168 views | Ryan Pfluger • TEDxPasadena"
The myth of the original star-crossed lovers,"489,068 views | Shannon Zhao • TED-Ed"
"How to co-parent as allies, not adversaries","2,192,352 views | Ebony Roberts and Shaka Senghor • TEDxDetroit"
Are we designed to be sexual omnivores?,"2,345,559 views | Christopher Ryan • TED2013"
